OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountTherapyEndTreatment_LI_GuidedSelfHelpBook,CountTherapyEndTreatment_LI_NonGuidedSelfHelpBook,CountTherapyEndTreatment_LI_GuidedSelfHelpComputer,CountTherapyEndTreatment_LI_NonGuidedSelfHelpComputer,CountTherapyEndTreatment_LI_StructuredPhysicalActivity,CountTherapyEndTreatment_LI_PsychoEducationalPeerSupport,CountTherapyEndTreatment_LI_Signposting,CountTherapyEndTreatment_LI_Other,CountTherapyEndTreatment_HI_AppliedRelaxation,CountTherapyEndTreatment_HI_CouplesTherapyForDepression,CountTherapyEndTreatment_HI_CollaborativeCare,CountTherapyEndTreatment_HI_CounsellingForDepression,CountTherapyEndTreatment_HI_ShortTermPsychoDynamicPsychotherapy,CountTherapyEndTreatment_HI_EyeMovementDesensitisationReprocessing,CountTherapyEndTreatment_HI_Mindfulness,CountTherapyEndTreatment_HI_CognitiveBehaviourTherapy,CountTherapyEndTreatment_HI_InterpersonalPsychoTherapy,CountTherapyEndTreatment_HI_InternetEnabledTherapy,CountTherapyEndTreatment_HI_Other,CountTherapyEndTreatment_EmploymentSupport,CountTherapyEndTreatment_LastNotStated
England,All,All,Therapy type recorded at start of treatment,High intensity,Collaborative care,4145,4,1069,3,0,140,0,26,2,17,2154,1873,4,233,12,4482,168,308,52,6,318
England,All,All,Therapy type recorded at start of treatment,High intensity,Counselling for depression,454,22,185,23,0,85,0,574,7,76,12,19276,66,86,57,1986,125,43,467,11,2121
England,All,All,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,9,0,3,0,0,1,0,5,1,2,0,18,306,3,0,44,6,0,23,0,7
England,All,All,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,17,1,7,0,0,0,0,8,0,2,0,51,0,537,0,224,3,0,17,1,7
England,All,All,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,22,0,13,0,1,33,1,31,4,0,1,26,1,0,245,45,0,7,11,0,32
England,All,All,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),7736,305,3609,909,41,1649,13,4082,5,208,73,7090,269,1023,103,78883,484,1288,2675,163,3497
England,All,All,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),22,0,4,3,0,7,0,10,0,4,0,76,6,7,1,103,566,5,25,1,3
England,All,All,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),26,3,220,1,0,0,0,2,0,0,0,1,0,0,1,13,0,1017,8,0,81
England,All,All,Therapy type recorded at start of treatment,High intensity,Other high intensity,5158,30,1251,288,4,691,4,1267,1,76,44,2050,140,199,32,8915,264,237,10988,46,869
England,All,All,Therapy type recorded at start of treatment,NULL,Employment Support,167,9,6,1,0,18,0,40,1,6,1,60,1,3,0,332,9,0,24,326,22
England,All,All,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,1491,28,811,14,0,42,0,417,11,2,4,177,10,68,10,3191,51,1096,94,4,24443
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Guided self help book,200,*,40,10,*,15,*,20,*,*,*,35,*,*,*,130,10,*,20,*,5
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,30,*,*,*,*,10
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,20,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Low intensity,Other low intensity,285,*,30,*,*,*,*,315,*,*,*,185,20,5,*,675,30,20,80,*,5
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,10,*,*,*,345,*,*,*,35,*,*,10,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,5,25,*,*,5,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),230,*,5,10,*,5,*,255,*,*,*,320,40,10,*,2230,15,15,20,*,10
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,25,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,High intensity,Other high intensity,600,*,*,55,*,35,*,20,*,15,*,150,55,15,*,785,95,*,165,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,30
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help book,12075,155,1825,840,*,610,*,975,*,140,5,4260,180,75,30,11105,105,620,1380,80,415
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,4145,450,525,75,*,80,*,220,*,25,*,940,10,35,*,6105,25,235,315,35,320
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,165,*,390,50,*,*,*,35,*,*,*,20,*,*,*,120,*,200,35,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,10,*,10,20,*,*,*,*,*,*,*,5,*,*,*,35,*,10,30,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,70,*,60,*,*,170,*,*,*,5,*,45,*,*,*,165,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Other low intensity,8405,15,2515,60,*,125,*,2200,*,60,*,3945,30,115,25,8140,45,1190,630,5,40
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,5,*,*,*,*,*,*,*,*,105,*,15,*,*,*,15,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Counselling for depression,95,*,15,*,*,30,*,10,*,25,*,2395,20,5,*,255,*,*,15,*,110
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,125,*,*,10,*,*,15,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,25,*,20,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,5,*,*,*,*,*,*,*,*,10,*,*,15,10,*,5,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),2335,95,760,70,*,680,*,355,*,80,*,1420,115,95,20,10425,85,165,715,25,150
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,45,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),15,*,140,*,*,*,*,*,*,*,*,*,*,*,*,*,*,40,5,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Other high intensity,2825,5,510,170,*,35,*,105,*,30,*,405,30,25,5,2780,30,155,1210,15,45
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,285,20,10,*,*,*,*,10,*,*,*,5,*,*,*,200,*,25,*,*,775
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help book,3810,15,550,*,*,1155,10,300,*,*,5,120,15,55,5,1930,25,195,745,140,55
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,1335,170,5,*,*,65,*,25,*,*,*,575,*,35,10,1060,60,185,55,*,5
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,105,*,1290,*,*,50,*,60,*,*,*,50,*,*,10,480,*,170,10,10,10
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,125,*,60,*,*,835,*,85,*,*,*,25,*,15,5,280,*,*,50,30,5
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Other low intensity,4670,5,5625,185,*,1995,*,4690,*,15,*,830,15,360,105,10035,80,1015,310,70,885
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,15,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*,15,*,*,10,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Counselling for depression,5,*,60,*,*,10,*,10,*,*,*,350,*,5,*,110,10,*,75,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,25,*,*,*,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,60,*,30,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,5,*,*,10,*,*,*,*,*,*,*,*,75,20,*,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),515,45,405,*,5,320,*,140,*,5,*,175,*,90,30,5315,20,95,245,70,30
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),5,*,*,*,*,*,*,*,*,*,*,15,*,*,*,20,30,*,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),5,*,20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,35,*,*,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Other high intensity,90,*,10,*,*,40,*,15,*,*,*,75,10,15,*,200,15,*,765,15,10
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,NULL,Employment Support,25,*,*,*,*,10,*,*,*,*,*,*,*,*,*,35,*,*,20,35,*
Commissioning Region,Y58,SOUTH WEST COMMISSIONING REGION,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,15,*,*,*,*,90
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help book,11575,30,3405,860,*,1285,*,950,*,20,*,2890,30,130,65,10965,70,165,1140,70,1295
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,405,195,40,125,*,60,*,*,*,*,*,105,*,15,5,795,10,15,100,*,205
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,1160,10,2285,15,*,10,*,55,*,*,*,95,*,35,10,1190,10,475,265,5,15
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,120,*,70,130,*,*,*,10,*,*,*,20,*,*,*,190,*,5,50,*,20
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,75,*,25,*,*,195,*,35,*,*,*,5,*,*,*,75,*,*,*,*,10
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Other low intensity,3520,90,605,665,*,440,10,2505,*,15,15,650,5,70,30,5535,105,490,2855,40,865
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,30,*,*,*,*,*,5,*,*,*,*,5
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,10,*,*,*,*,5,*,*,*,*,*,*,*,*,*,15
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Counselling for depression,150,*,55,5,*,15,*,205,*,*,*,2365,5,15,20,430,10,10,55,*,100
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,65,*,*,*,*,*,*,*,*
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,10,*,*,*,*,*,*,*,*,*,*,25,*,100,*,25,*,*,5,*,*
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,10,*,*,*,*,*,*,*,*,40,*,*,*,*,*,15
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),1455,15,575,205,*,150,*,1005,*,10,*,2435,15,190,30,19985,50,85,660,25,390
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,20,*,*,*,*
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,35,*,*,*,*,*,*,*,*,*,*,*,*,*,*,600,*,*,35
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Other high intensity,235,*,65,20,*,45,*,120,*,*,5,295,*,25,10,980,15,25,1175,*,50
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,NULL,Employment Support,15,*,*,*,*,5,*,*,*,*,*,*,*,*,*,10,*,*,*,5,*
Commissioning Region,Y59,SOUTH EAST COMMISSIONING REGION,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,175,*,170,*,*,*,*,5,*,*,*,*,*,*,*,340,5,60,*,*,3910
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help book,8435,80,1720,250,*,80,15,890,*,75,*,3455,5,120,*,7645,540,450,240,155,115
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,1410,615,205,185,*,25,15,175,5,*,*,495,*,70,*,2645,100,60,90,15,580
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,70,*,430,25,*,*,*,35,*,*,*,50,*,*,*,160,*,95,5,*,5
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,50,*,5,530,*,*,*,70,*,*,*,10,*,*,*,100,5,55,*,*,20
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,30,*,15,5,*,45,*,15,*,*,*,*,*,*,*,35,*,*,*,*,5
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Signposting,10,*,*,*,*,*,5,*,*,*,*,*,*,*,*,30,*,*,*,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Other low intensity,4500,45,455,1205,10,150,*,10805,15,10,5,1765,25,150,10,11030,475,170,3145,55,745
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,10,55,*,*,*,*,*,*,5,*,*,*,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,315,*,25,*,*,*,*,*,*,5,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Collaborative care,10,*,*,*,*,*,*,5,*,*,15,5,*,*,*,10,*,*,10,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Counselling for depression,50,10,*,5,*,*,*,155,5,20,*,3835,10,15,30,430,55,10,170,*,455
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,5,35,*,*,20,*,*,*,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,15,*,75,*,35,*,*,*,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,5,*,*,*,*,*,*,*,*,*,*,10,*,*,10,*,*,*,10,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),815,35,165,320,30,45,5,1000,*,25,10,1220,30,165,10,19995,145,160,510,20,565
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,5,*,*,*,35,*,*,*,25,235,*,*,*,*
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,105,*,*,5
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,High intensity,Other high intensity,25,*,5,*,*,*,*,155,*,5,*,180,*,10,5,415,25,*,5390,*,160
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,NULL,Employment Support,105,5,*,*,*,*,*,35,*,5,*,50,*,*,*,265,5,*,*,75,20
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,30,*,5,*,*,*,*,135,*,*,*,10,*,5,*,270,*,100,55,*,3570
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Guided self help book,3965,40,50,140,*,45,*,1475,*,75,*,665,5,80,5,3090,65,25,50,60,810
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,1540,460,190,525,*,135,*,180,*,30,*,425,80,95,*,2925,10,230,120,*,2690
